category,code,name,nutriscore,nova,eco,allergens_n,labels_n
breakfast cereals,3168930010265,cruesly mélange de noix,b,4,b,3,8
breakfast cereals,3229820160672,Croustillant Chocolat,c,4,b,1,13
breakfast cereals,3229820019307,Flocons d'avoine,a,1,a,3,12
breakfast cereals,3229820129488,"Muesli Raisin, Figue, Abricot",a,3,a,1,17
breakfast cereals,3387390123210,Chocapic,b,4,b,1,6
breakfast cereals,5010477348678,Special Muesli 30% fruits & noix,a,1,b,4,18
breakfast cereals,3229820782560,"Muesli Superfruits Raisins, cassis, cranberry, myrtille",a,3,a,2,16
breakfast cereals,7613036669146,NESTLE CHOCAPIC BIO Céréales - Boite de 375g,b,4,b,1,5
breakfast cereals,5010029000023,weetabix,a,3,c,1,14
breakfast cereals,5010477348357,Country Crisp 4 noix,c,4,c,3,14
breakfast cereals,3159470000120,CORN FLAKES,d,3,c,1,9
breakfast cereals,3229820769165,Muesli avoine chocolat bio,a,4,a,2,13
breakfast cereals,3168930010906,Cruesli Chocolat noir,c,4,d,2,8
breakfast cereals,3168930009078,Flocons d'avoine complète,a,1,a,0,8
breakfast cereals,20003166,FIOCCHI D'AVENA,a,1,a,1,12
breakfast cereals,5010477348630,"Muesli bio 36% fruits, noix & graines",c,1,a,3,17
breakfast cereals,3168930009795,Muesli Croustillant Noix de pécan & noix du Brésil,b,4,c,2,5
breakfast cereals,7613035449626,NESTLE CHOCAPIC Céréales 645g,b,4,b,1,6
breakfast cereals,5010477348395,Country Crisp - Chocolat noir 70% cacao,d,4,c,4,8
breakfast cereals,5010477348517,Country Crisp 4 Baies,c,4,b,1,18
breakfast cereals,3229820798110,Granola Chocolat,c,4,a,1,6
breakfast cereals,3229820797861,Croustillant 3 noix,b,4,a,2,10
breakfast cereals,4008713713411,Copos de Avena extra suaves,a,1,b,1,2
breakfast cereals,5059319023762,Miel Pops,c,4,d,1,2
breakfast cereals,5010029229110,Crispy Minis Choco,b,4,c,2,6
breakfast cereals,3421557501722,Muesli croustillant tradition,c,3,a,1,11
breakfast cereals,3421557501975,Muesli croustillant duo pépites,c,3,a,5,10
